Arquivo,Tipo,resultado
.gitignore,Versionado,integrado: merge de tres vias revisado
.vscode/launch.json,Versionado,mantido_atual: rascunho inseria texto conta e invalidava JSONC
.vscode/settings.json,Versionado,integrado: merge de tres vias revisado
agent_tray.spec,Versionado,versao_historica_superada
agent_worker.py,Versionado,versao_historica_superada
app.py,Versionado,integrado: merge de tres vias revisado
color_profiles.py,Versionado,ja_integrado
db.py,Versionado,integrado: merge de tres vias revisado
docs/status_da_arte_para_o_erp.md,Versionado,mantido_atual: mudancas locais ja contempladas na versao atual
engine.py,Versionado,versao_historica_superada
ferramentas/estacoes.py,Versionado,ja_integrado
frontend/acabamento.js,Versionado,integrado: merge de tres vias revisado
frontend/cliente-confirmacoes.js,Versionado,versao_historica_superada
frontend/cliente-shell.js,Versionado,mantido_atual: mudancas locais ja contempladas na versao atual
frontend/cliente.html,Versionado,mantido_atual: mudancas locais ja contempladas na versao atual
frontend/cliente.js,Versionado,integrado: preservadas correcoes atuais nos conflitos; rotas novas combinadas
frontend/index.html,Versionado,mantido_atual: mudancas locais ja contempladas na versao atual
frontend/pedido.js,Versionado,versao_historica_superada
frontend/qr-ideal-colunas.js,Versionado,ja_integrado
frontend/script.js,Versionado,integrado: preservadas correcoes atuais nos conflitos; rotas novas combinadas
frontend/supabase-config.js,Versionado,integrado: merge de tres vias revisado
frontend/texto-ajuste.js,Versionado,ja_integrado
print_service.py,Versionado,ja_integrado
sql/link_marca_quando_o_cliente_abre.sql,Versionado,ja_integrado
supabase/functions/acesso-estacao/index.ts,Versionado,integrado: preservadas correcoes atuais nos conflitos; rotas novas combinadas
supabase/functions/painel/index.ts,Versionado,integrado: preservadas correcoes atuais nos conflitos; rotas novas combinadas
tests/QrIdealColunas.Tests.ps1,Versionado,ja_integrado
tests/acabamento_harness.js,Versionado,integrado: merge de tres vias revisado
tests/arte_de_aprovacao_harness.js,Versionado,versao_historica_superada
tests/correcao_do_cliente_harness.js,Versionado,versao_historica_superada
tests/historico_de_artes_harness.js,Versionado,integrado: merge de tres vias revisado
tests/lista_arte_harness.js,Versionado,ja_integrado
tests/pagamento_do_pedido_harness.js,Versionado,integrado: merge de tres vias revisado
tests/portal_confirmacoes_harness.js,Versionado,versao_historica_superada
tests/portal_pendencia_harness.js,Versionado,versao_historica_superada
tests/qr_ideal_colunas_harness.js,Versionado,ja_integrado
tests/test_aviso_de_choque_de_coluna.py,Versionado,ja_integrado
tests/test_engine_altura_do_texto.py,Versionado,ja_integrado
tests/test_engine_opacidade_arte.py,Versionado,ja_integrado
tests/test_engine_sangria.py,Versionado,ja_integrado
